premise ,contradiction,entailment,neutral
"Ngày 2 tháng 9 năm 1945, tại quảng trường Ba Đình (Hà Nội), Chủ tịch Hồ Chí Minh đọc bản Tuyên ngôn Độc lập và tuyên bố sự khai sinh của một nước Việt Nam mới: Việt Nam Dân chủ Cộng hòa.",Tuyên ngôn Độc lập được đọc tại Huế.,Sự kiện tuyên bố độc lập của Việt Nam diễn ra tại thủ đô Hà Nội.,Ba Đình trở thành địa danh gắn với lịch sử Việt Nam.
"Bản tuyên ngôn, dựa theo bản Tuyên ngôn Độc lập Hoa Kỳ, bắt đầu bằng câu: Tất cả mọi người sinh ra đều có quyền bình đẳng, quyền được sống, quyền tự do và quyền mưu cầu hạnh phúc.",Tuyên ngôn Việt Nam không chịu ảnh hưởng từ văn kiện nước ngoài.,Bản Tuyên ngôn Độc lập của Việt Nam có tham khảo các tư tưởng từ nước ngoài,Nhiều bản tuyên ngôn trên thế giới đề cao quyền con người.
Nhiều sử gia phương Tây cho rằng Việt Minh thành công nhờ khoảng trống quyền lực khi Nhật đầu hàng và Pháp bị đảo chính tháng 3/1945.,Tất cả sử gia đều phủ nhận vai trò chuẩn bị của Việt Minh.,Một số học giả tin rằng bối cảnh quốc tế là yếu tố quan trọng dẫn đến thành công của Việt Minh.,Một số học giả đánh giá cao yếu tố quốc tế trong cách mạng Việt Nam.
"Trên thực tế, Việt Minh đã chuẩn bị kỹ lưỡng, chủ động loại bỏ lực lượng ngoại xâm và huy động sự ủng hộ rộng rãi của nhân dân.",Việt Minh giành chính quyền một cách ngẫu nhiên.,Sự chuẩn bị và ủng hộ quần chúng là những nhân tố đóng góp vào thắng lợi của Việt Minh.,Việt Minh chú trọng công tác tổ chức và vận động quần chúng.
"Lực lượng Nhật tại Việt Nam khoảng 90.000 người, vẫn giữ khí giới và không dễ dàng nhường quyền, thể hiện không tồn tại khoảng trống quyền lực thực sự.",Quân Nhật đã rút hết khỏi Việt Nam trước Cách mạng Tháng Tám.,Việc Nhật Bản vẫn còn lực lượng quân sự mạnh ở Việt Nam đã tạo ra một thách thức.,Lực lượng quân sự nước ngoài ảnh hưởng đến an ninh Việt Nam năm 1945.
Cách mạng Tháng Tám thành công khẳng định vị thế lãnh đạo của Đảng Cộng sản Việt Nam với phong trào giải phóng dân tộc.,Cách mạng diễn ra không có sự lãnh đạo chính trị.,"Sau Cách mạng Tháng Tám, Đảng Cộng sản Việt Nam được công nhận là lực lượng lãnh đạo.","Sau Cách mạng Tháng Tám, trật tự chính trị trong nước thay đổi."
Việt Nam Dân chủ Cộng hòa là một nhà nước tồn tại từ năm 1945 đến năm 1976 trong lịch sử Việt Nam.,Nhà nước này chấm dứt tồn tại vào năm 1946.,Nhà nước Việt Nam Dân chủ Cộng hòa có thời gian tồn tại là 31 năm.,Nhà nước Việt Nam từng tồn tại dưới nhiều hình thức khác nhau.
"Trong Cách mạng Tháng Tám sau Chiến tranh thế giới thứ hai, Việt Minh tuyên bố độc lập và thành lập Việt Nam Dân chủ Cộng hòa vào ngày 2 tháng 9 năm 1945.",Việt Minh không tuyên bố độc lập vào năm 1945 và Việt Nam Dân chủ Cộng hòa chỉ được thành lập nhiều năm sau đó dưới sự bảo trợ của nước ngoài.,Việt Nam Dân chủ Cộng hòa được thành lập ngay sau Chiến tranh thế giới thứ hai,Ngày Quốc khánh gắn liền với sự ra đời của một chính thể mới.
Chính phủ Việt Minh bắt đầu củng cố chính quyền bằng cách trấn áp những đảng phái khác.,Chính phủ Việt Minh hoàn toàn không sử dụng biện pháp trấn áp và cho phép các đảng phái đối lập tự do hoạt động.,Việc củng cố quyền lực của Việt Minh bao gồm các biện pháp đối phó với các nhóm chính trị đối lập.,Việc xây dựng chính quyền sau chiến tranh gặp nhiều khó khăn.
"Sau khi Pháp quay lại Việt Nam, Chiến tranh Đông Dương nổ ra vào tháng 12 năm 1946.",Chiến tranh Đông Dương bùng nổ ngay trong năm 1945 do xung đột giữa Việt Minh và Nhật Bản.,Sự trở lại của thực dân Pháp đã dẫn đến một cuộc xung đột vũ trang.,Quan hệ Việt – Pháp sau năm 1945 tiếp tục căng thẳng.
Việt Minh rút khỏi các khu vực thành thị và tiến hành chiến tranh du kích tại các vùng nông thôn.,Việt Minh duy trì kiểm soát lâu dài các thành phố lớn và không tiến hành chiến tranh du kích.,Chiến lược quân sự chính của Việt Minh trong giai đoạn này là chiến tranh du kích.,Chiến tranh du kích được sử dụng rộng rãi ở nhiều quốc gia.
"Sau khi bại trận trong Chiến dịch Điện Biên Phủ, Pháp ký Hiệp định Genève vào năm 1954, thừa nhận nền độc lập của Việt Nam.","Sau thất bại ở Điện Biên Phủ, Pháp tiếp tục chiến tranh và từ chối ký bất kỳ hiệp định nào.",Thất bại tại Điện Biên Phủ buộc Pháp phải chấp nhận ký kết một hiệp định.,Kết quả quân sự ảnh hưởng đến đàm phán ngoại giao.
"Hiệp định Genève tạm thời chia lãnh thổ Việt Nam làm hai vùng tập kết quân sự theo vĩ tuyến 17, phía bắc thuộc quản lý hành chính của Việt Nam Dân chủ Cộng hòa, phía nam thuộc quản lý hành chính của Quốc gia Việt Nam, và quy định tổ chức tổng tuyển cử vào năm 1956 để thống nhất hai miền.",Hiệp định Genève lập tức thống nhất Việt Nam và không đề cập đến tổng tuyển cử.,Việt Nam tạm thời bị chia cắt thành hai khu vực sau Hiệp định Genève 1954.,Sự chia cắt lãnh thổ gây ra nhiều hệ quả lâu dài.
Ủy ban Quốc tế về Giám sát và Kiểm soát được giao nhiệm vụ giám sát cuộc tổng tuyển cử.,Không có tổ chức quốc tế nào giám sát việc thi hành Hiệp định Genève.,Ủy ban Quốc tế về Giám sát và Kiểm soát được giao nhiệm vụ giám sát cuộc tổng tuyển cử.,Các tổ chức quốc tế được lập ra sau chiến tranh.
"Tuy nhiên, Hoa Kỳ và Quốc gia Việt Nam không ký Hiệp định Genève.",Hoa Kỳ và Quốc gia Việt Nam là các bên ký kết chính thức của Hiệp định Genève.,Hiệp định Genève không nhận được sự chấp thuận của tất cả các bên liên quan.,Không phải mọi quốc gia đều tham gia ký kết hiệp định.
Hoa Kỳ ngầm khuyến khích Quốc gia Việt Nam không thi hành tổng tuyển cử.,Hoa Kỳ gây sức ép buộc Quốc gia Việt Nam phải tổ chức tổng tuyển cử đúng hạn.,Hoa Kỳ hậu thuẫn việc trì hoãn tổng tuyển cử ở miền Nam.,Chính sách của Hoa Kỳ chịu ảnh hưởng bởi Chiến tranh Lạnh.
"Năm 1955, một cuộc trưng cầu ý dân gian lận phế truất Bảo Đại và thành lập Việt Nam Cộng hòa dưới quyền Ngô Đình Diệm.",Cuộc trưng cầu ý dân năm 1955 diễn ra minh bạch và tiếp tục duy trì quyền lực của Bảo Đại.,Việt Nam Cộng hòa ra đời sau cuộc trưng cầu ý dân năm 1955.,Miền Nam Việt Nam trải qua nhiều biến động chính trị.
"Năm 1956, Ngô Đình Diệm tuyên bố không thi hành tổng tuyển cử với lý do không thể đảm bảo bầu cử tự do, công bằng ở Việt Nam Dân chủ Cộng hòa.",Ngô Đình Diệm công khai ủng hộ và chuẩn bị tham gia tổng tuyển cử năm 1956.,Chính quyền Ngô Đình Diệm không tham gia tổng tuyển cử năm 1956.,Việc tổ chức bầu cử thống nhất gặp nhiều trở ngại.
Việt Nam Dân chủ Cộng hòa cáo buộc Ngô Đình Diệm muốn biến miền Nam thành thuộc địa kiểu mới và căn cứ quân sự của Hoa Kỳ.,Việt Nam Dân chủ Cộng hòa đánh giá chính quyền Ngô Đình Diệm là hoàn toàn độc lập với Hoa Kỳ.,Miền Bắc cho rằng miền Nam bị Hoa Kỳ kiểm soát về quân sự.,Xung đột ý thức hệ ảnh hưởng quan hệ hai miền.
Việc tổng tuyển cử thất bại chấm dứt Chiến tranh Việt Nam.,Việc không tổ chức tổng tuyển cử đã mang lại hòa bình lâu dài cho Việt Nam.,Việc không tổ chức tổng tuyển cử khiến chiến tranh kết thúc.,Chiến tranh Việt Nam kéo dài do nhiều nguyên nhân.
"Với sự hỗ trợ của các đồng minh xã hội chủ nghĩa bao gồm Liên Xô và Trung Quốc, Quân đội nhân dân Việt Nam và Mặt trận Dân tộc Giải phóng miền Nam Việt Nam chiến đấu chống Quân lực Việt Nam Cộng hòa.",Các lực lượng này không nhận được bất kỳ hỗ trợ quốc tế nào.,Lực lượng cách mạng được Liên Xô và Trung Quốc hậu thuẫn.,Nhiều lực lượng tham gia cuộc chiến tại Việt Nam.
"Hoa Kỳ cùng các đồng minh phương Tây như Úc, Hàn Quốc và Thái Lan can thiệp quân sự vào Việt Nam nhằm giúp Việt Nam Cộng hòa và ngăn chủ nghĩa cộng sản bành trướng ở Đông Nam Á theo thuyết domino.",Hoa Kỳ và các đồng minh từ chối can thiệp quân sự vào Việt Nam.,Hoa Kỳ tham chiến ở Việt Nam vì lo ngại chủ nghĩa cộng sản lan rộng.,Sự can thiệp của nước ngoài làm chiến tranh phức tạp.
"Năm 1969, Mặt trận Dân tộc Giải phóng miền Nam Việt Nam thành lập Cộng hòa miền Nam Việt Nam, được Việt Nam Dân chủ Cộng hòa công nhận là chính phủ hợp pháp, đại diện của nhân dân miền Nam.",Cộng hòa miền Nam Việt Nam do chính quyền Sài Gòn thành lập.,Một chính phủ cách mạng miền Nam được công nhận năm 1969.,"Cuối chiến tranh, miền Nam tồn tại nhiều hình thức chính quyền."
"Năm 1973, Hoa Kỳ ký Hiệp định Paris với Việt Nam Dân chủ Cộng hòa, đồng ý rút quân khỏi Việt Nam.",Hoa Kỳ ký Hiệp định Paris để tăng cường hiện diện quân sự tại Việt Nam.,Hoa Kỳ cam kết rút quân sau Hiệp định Paris.,Hiệp định quốc tế ảnh hưởng đến cục diện chiến tranh.
"Năm 1975, Quản Giải phóng miền Nam Việt Nam đánh chiếm Sài Gòn, chấm dứt chế độ Việt Nam Cộng hòa và kết thúc Chiến tranh Việt Nam.","Sau năm 1975, chính quyền Việt Nam Cộng hòa vẫn tồn tại và chiến tranh tiếp diễn.","Sài Gòn thất thủ năm 1975, chế độ VNCH sụp đổ.",Năm 1975 đánh dấu bước ngoặt lịch sử Việt Nam.
"Ngày 2 tháng 7 năm 1976, Việt Nam Dân chủ Cộng hòa và Cộng hòa miền Nam Việt Nam thống nhất thành Cộng hòa xã hội chủ nghĩa Việt Nam.","Sau năm 1976, Việt Nam vẫn tồn tại dưới hai nhà nước riêng biệt.",Việt Nam chính thức thống nhất vào năm 1976.,Quá trình thống nhất đất nước kéo dài nhiều năm.
"Ngày 28 tháng 11 năm 1943, Tổng thống Hoa Kỳ Franklin D. Roosevelt đề xuất giao quốc tế quản lý Đông Dương.",Roosevelt chưa từng đưa ra đề xuất quốc tế hóa Đông Dương.,Hoa Kỳ từng đề xuất đặt Đông Dương dưới sự quản lý quốc tế.,Các cường quốc có lợi ích khác nhau tại Đông Dương.
"Liên Xô chấp thuận đề xuất này, nhưng sau đó Hoa Kỳ ủng hộ Pháp khôi phục cai trị Đông Dương để lôi kéo Pháp chống Liên Xô.",Hoa Kỳ kiên quyết phản đối việc Pháp quay lại Đông Dương.,Hoa Kỳ thay đổi lập trường và ủng hộ Pháp tái chiếm Đông Dương.,Quan hệ Mỹ – Pháp thay đổi sau Thế chiến thứ hai.
Hoa Kỳ cũng đồng ý Trung Hoa Dân Quốc vào miền Bắc Việt Nam giải giáp Quân đội Đế quốc Nhật Bản.,Hoa Kỳ ngăn cản Trung Hoa Dân Quốc tiến vào miền Bắc Việt Nam.,Quân Trung Hoa Dân Quốc được phép vào miền Bắc Việt Nam sau Thế chiến II.,Việc giải giáp quân Nhật có sự tham gia của nhiều bên.
"Sau khi Nhật đảo chính Pháp tại Đông Dương, Bảo Đại ra Tuyên cáo Việt Nam độc lập vào ngày 11 tháng 3 năm 1945, tuyên bố hủy bỏ Hỏa ước Giáp Thân, khôi phục chủ quyền Việt Nam, thống nhất Bắc Kỳ, Trung Kỳ và Nam Kỳ.",Bảo Đại từ chối tuyên bố độc lập và tiếp tục duy trì hiệp ước bảo hộ với Pháp.,Bảo Đại tuyên bố chấm dứt sự bảo hộ của Pháp năm 1945.,Năm 1945 xuất hiện nhiều tuyên bố về chủ quyền.
"Ngày 24 tháng 3 năm 1945, Charles de Gaulle tuyên bố khẳng định chủ quyền Pháp tại Đông Dương, nhưng sẽ cho phép Đông Dương thực thi quyền tự trị với Hội đồng Liên bang được thành lập với không quá 50% là người bản xứ.",de Gaulle từ bỏ hoàn toàn Đông Dương và trao toàn quyền độc lập.,Pháp vẫn giữ quyền kiểm soát Đông Dương sau năm 1945.,Chính sách thuộc địa của Pháp gặp sự phản đối.
"Ngày 7 tháng 4 năm 1945, Bảo Đại ký Đạo dụ số 5 chuẩn y thành phần nội các Trần Trọng Kim.",Chính phủ Trần Trọng Kim chưa từng được thành lập.,Chính phủ Trần Trọng Kim được Bảo Đại phê chuẩn.,Nội các Trần Trọng Kim hoạt động trong bối cảnh khó khăn.
"Ngày 12 tháng 5, Bảo Đại giải thể Viên Dân biểu Trung Kỳ.",Viện Dân biểu Trung Kỳ tiếp tục hoạt động cho đến sau năm 1946.,Cơ quan dân biểu Trung Kỳ bị giải tán năm 1945.,Cơ cấu chính quyền Trung Kỳ có nhiều biến đổi.
"Tháng 6 năm 1945, chính phủ Trần Trọng Kim đặt quốc hiệu là Đế quốc Việt Nam.",Chính phủ Trần Trọng Kim không thay đổi quốc hiệu.,Nhà nước Việt Nam năm 1945 mang quốc hiệu Đế quốc Việt Nam.,Quốc hiệu Việt Nam từng thay đổi theo thời kỳ.
Trung tướng Nhật Bản Tsuchihashi Yuitsu cho rằng Việt Nam chỉ được độc lập trên danh nghĩa và Nhật Bản phải kiểm soát chặt chẽ chính phủ mới của Việt Nam.,Nhật Bản công nhận nền độc lập hoàn toàn của Việt Nam.,Việt Nam năm 1945 chỉ độc lập trên danh nghĩa.,Chính quyền do Nhật hậu thuẫn bị đánh giá thiếu thực quyền.
"Theo tác giả Daniel Grandclème, thoạt đầu Phạm Quỳnh được chỉ định tạm quyền nhưng vì ông quá thân Pháp và thấy ngay nền độc lập của Nhật Bản có những giới hạn như chế độ bảo hộ.",Phạm Quỳnh được Nhật Bản ủng hộ mạnh mẽ để lãnh đạo chính phủ mới.,"Theo Daniel Grandclème, Phạm Quỳnh không được trao quyền lâu dài vì lập trường thân Pháp và vì nền độc lập do Nhật bảo trợ chỉ mang tính hình thức, tương tự chế độ bảo hộ.",Một số trí thức nhận rõ giới hạn của nền độc lập.
"Ngày 6 tháng 1 năm 1946, Việt Nam Dân chủ Cộng hòa bầu Quốc hội khóa I.",Việt Nam Dân chủ Cộng hòa không tổ chức bầu cử quốc hội trong giai đoạn 1945–1946.,"Ngày 6/1/1946, Việt Nam Dân chủ Cộng hòa đã tổ chức tổng tuyển cử để bầu ra Quốc hội khóa I.",Cuộc bầu cử Quốc hội diễn ra sau khi giành độc lập.
"Ngày 9 tháng 11 năm 1946, Quốc hội thông qua bản hiến pháp đầu tiên của Việt Nam Dân chủ Cộng hòa.",Quốc hội Việt Nam Dân chủ Cộng hòa không thông qua bất kỳ bản hiến pháp nào trong năm 1946 và phải đến nhiều năm sau mới xây dựng được hiến pháp đầu tiên.,Bản Hiến pháp đầu tiên của Việt Nam Dân chủ Cộng hòa được Quốc hội chính thức thông qua vào tháng 11 năm 1946.,Việc xây dựng hệ thống pháp luật ở Việt Nam sau năm 1945 diễn ra trong bối cảnh đất nước còn nhiều khó khăn.
"Trong giai đoạn đầu, Việt Minh mà Đảng Cộng sản làm nòng cốt giữ vai trò lãnh đạo.","Trong giai đoạn đầu sau Cách mạng Tháng Tám, Việt Minh không giữ vai trò lãnh đạo, mà quyền lực chủ yếu nằm trong tay các đảng phái quốc gia khác.","Trong giai đoạn đầu của chính quyền mới, Việt Minh do Đảng Cộng sản giữ vai trò nòng cốt đã lãnh đạo phong trào cách mạng.","Trong giai đoạn đầu của nhà nước mới, nhiều tổ chức chính trị có ảnh hưởng khác nhau đến tiến trình cách mạng."
" Trong thời gian ngắn, chính quyền bao gồm nhiều tổ chức, đảng tham gia ở cấp trung ương và địa phương như Việt Quốc, Việt Cách, Đại Việt, Trốtxkit, Cao Đài, Hòa Hảo. ","Chính quyền trung ương và địa phương thời kỳ đầu chỉ do một tổ chức duy nhất kiểm soát, không có sự tham gia của các đảng phái hay tôn giáo khác.",Chính quyền Việt Nam Dân chủ Cộng hòa thời kỳ đầu có sự tham gia của nhiều tổ chức và đảng phái chính trị khác nhau ở cả trung ương lẫn địa phương.,Thời kỳ sau Cách mạng Tháng Tám chứng kiến sự tham gia đa dạng của nhiều lực lượng chính trị trong bộ máy chính quyền.
"Sau vài năm hoạt động bí mật, Đảng Cộng sản ra hoạt động bán công khai trong tổ chức Việt Minh và Liên Việt.",Đảng Cộng sản không tham gia hoạt động trong Việt Minh hay Liên Việt và tiếp tục duy trì trạng thái hoàn toàn bí mật trong suốt thời kỳ này.,"Sau thời gian hoạt động bí mật, Đảng Cộng sản từng bước xuất hiện bán công khai thông qua các mặt trận như Việt Minh và Liên Việt.",Các tổ chức chính trị ở Việt Nam từng lựa chọn nhiều hình thức hoạt động khác nhau để thích ứng với hoàn cảnh lịch sử.
"Từ năm 1951, Đảng Cộng sản hoạt động công khai, chính thức giữ vai trò lãnh đạo Nhà nước.","Từ sau năm 1951, Đảng Cộng sản vẫn không được công khai hoạt động và không giữ vai trò lãnh đạo chính thức đối với Nhà nước.","Kể từ năm 1951, Đảng Cộng sản hoạt động công khai và giữ vai trò lãnh đạo chính thức đối với Nhà nước.",Vai trò lãnh đạo chính trị ở Việt Nam có sự thay đổi theo từng giai đoạn lịch sử cụ thể.
"Sau năm 1954, Đảng Dân chủ và Đảng Xã hội trong Mặt trận Tổ quốc Việt Nam tham gia chính phủ do Đảng Lao động Việt Nam lãnh đạo.","Sau năm 1954, Đảng Dân chủ và Đảng Xã hội không tham gia chính phủ và bị loại khỏi mọi hình thức liên minh chính trị.","Sau năm 1954, các đảng Dân chủ và Xã hội vẫn tham gia chính phủ trong khuôn khổ Mặt trận Tổ quốc dưới sự lãnh đạo của Đảng Lao động Việt Nam.","Trong chính phủ Việt Nam sau năm 1954, sự tham gia của các đảng phái thể hiện tính đa dạng về hình thức tổ chức."
"Ngày 28 tháng 2 năm 1946, Pháp ký Hiệp ước Hoa - Pháp với Trung Hoa Dân Quốc để Quốc quân Trung Hoa Dân Quốc rút khỏi miền Bắc, đổi lại Pháp trả lại các tổ giới và nhượng địa của Pháp tại Trung Quốc, nhượng cho Trung Quốc một số quyền lợi tại miền Bắc Việt Nam như việc khai thác một đặc khu tại cảng Hải Phòng và miễn thuế cho hàng hóa Trung Quốc vận chuyển qua Việt Nam.",Hiệp ước Hoa – Pháp không hề tồn tại và quân đội Trung Hoa Dân Quốc rút khỏi miền Bắc Việt Nam mà không có bất kỳ thỏa thuận quốc tế nào.,Hiệp ước Hoa – Pháp năm 1946 tạo điều kiện cho quân Trung Hoa Dân Quốc rút khỏi miền Bắc Việt Nam để đổi lấy các quyền lợi kinh tế và chính trị từ phía Pháp.,Quan hệ ngoại giao giữa các nước liên quan đến Việt Nam sau Thế chiến thứ hai chịu ảnh hưởng lớn bởi lợi ích chiến lược.
"Tuy nhiên, khi quân Pháp đổ bộ vào Hải Phòng đã xung đột với quân đội Trung Hoa Dân Quốc và lực lượng quân sự địa phương của Việt Nam Dân chủ Cộng hòa.","Khi quân Pháp đổ bộ vào Hải Phòng, không xảy ra bất kỳ xung đột nào với quân Trung Hoa Dân Quốc hay lực lượng Việt Nam Dân chủ Cộng hòa.",Việc quân Pháp đổ bộ vào Hải Phòng đã dẫn tới xung đột với cả quân Trung Hoa Dân Quốc và lực lượng vũ trang địa phương của Việt Nam Dân chủ Cộng hòa.,Việc triển khai lực lượng quân sự nước ngoài tại các cảng lớn thường làm gia tăng nguy cơ va chạm vũ trang.
"Ban đầu, Việt Nam Dân chủ Cộng hòa phản đối việc Pháp tái lập chủ quyền ở Đông Dương, nhưng sau đó quyết định nhượng bộ tự chủ trong Đông Dương để đối phó với ""bọn Tàu trăng, bọn phản động Việt Nam và bọn phát xít Nhật còn lại"".",Việt Nam Dân chủ Cộng hòa hoàn toàn ủng hộ việc Pháp tái lập chủ quyền ở Đông Dương và không có bất kỳ sự phản đối hay nhượng bộ chiến lược nào.,"Trước nguy cơ từ nhiều lực lượng thù địch, Việt Nam Dân chủ Cộng hòa đã chấp nhận nhượng bộ chiến thuật để đối phó với tình thế phức tạp.",Chính sách đối ngoại của Việt Nam Dân chủ Cộng hòa thời kỳ đầu chịu tác động bởi nhiều mối đe dọa khác nhau.
"Ngày 6 tháng 3 năm 1946, Việt Nam Dân chủ Cộng hòa ký Hiệp định sơ bộ Pháp - Việt, cho phép quân đội Pháp thay Quốc quân Trung Hoa Dân Quốc giải giáp Quân đội Đế quốc Nhật Bản tại miền Bắc Việt Nam.",Hiệp định sơ bộ Pháp – Việt không cho phép quân Pháp vào miền Bắc Việt Nam và tiếp tục để Quốc quân Trung Hoa Dân Quốc giải giáp quân Nhật.,Hiệp định Sơ bộ Pháp – Việt năm 1946 cho phép quân Pháp thay thế quân Trung Hoa Dân Quốc trong việc giải giáp quân Nhật tại miền Bắc.,"Trong năm 1946, các thỏa thuận quốc tế được ký kết nhằm giải quyết vấn đề quân đội nước ngoài tại Việt Nam."
